'Cliniques Ste Rosa de CASCIA','FFsxO5qLVX9','Yopougon-Ouest-Songon','vKdGimcwHYV'
'Grande Clinique du Dokoui','ytQMagx2lx','Abobo-Est','G09b40iGNYP'
